,Company Name,Product Name,Quantity,Price
235,President,Premium Butter - Salted,100 gm,46.00
236,President,Premium Butter - Unsalted,100 gm,47.00
237,Amul,Cheese Spread - Red Chilli Flakes,200 gm,80.00
238,Milky Mist,Mozzarella - Pizza Cheese,1 kg,410.00
239,Britannia,Cheese Block,400 gm,250.00
240,President,Premium Butter - Salted,500 gm,225.00
241,Amul,Cheese Chiplets (Cubes),1 kg,470.00
242,Goodness,"Smoothie - Oats, Vanilla",190 ml,49.00
243,Soyfresh,Soya Milk - Chocolate,250 ml,60.00
244,Amul,Buttery Spread - Choco,200 gm,85.00
245,Amul,Fresh Paneer,1 kg,305.00
246,Kodai Dairy Farms,Cheese - Triple Layer,200 gm,220.00
247,Milky Mist,Cooking Butter,200 gm,90.00
248,Santa Maria,Soured Cream,280 gm,335.75
249,Cavins,Milkshake - Vanilla,1 ltr,104.00
250,Britannia,Butter,100 gm,52.00
251,LHF,Almond Fresh Drinks - Chocolate,200 ml,70.00
252,American Bagel Factory,Low Fat Table Spread - Chilli & Garlic,200 gm,310.00
253,Go ,Processed Cheese - Plain Angles,200 gm,115.00
254,Milky Mist,Cheddar - Cheese,1 kg,550.00
255,Kodai Dairy Farms,Cheese - Edam,200 gm,240.00
256,ARLA,Cheese - Gouda,150 gm,375.00
257,Fresho Signature,"Cheese - Monterey Jack, Diced",100 gm,210.75
258,Fresho Signature,"Cheese - Gaudamur Manchego, Block",200 gm,664.50
259,Amul,Cool Cafe Milk & Coffee,200 ml,30.00
260,Lactima,Emmentaler - Cheese Slices,130 gm,180.00
261,Vijay Dairy Farm,Malai Paneer,200 gm,75.00
262,Nutralite,Table Spread - Cholesterol Free,100gm,36.10
263,American Bagel Factory,Butter Table Spread - Garlic,100 gm,170.00
264,Fresho Signature,"Cheese - Gouda Chilli Sambal, Diced",100 gm,235.50
265,Amul,Kool - Koko,200 ml,30.00
266,mother dairy,Lassi - Mango (Asli Refreshment),200 ml,20.00
267,Amul,Shrikhand - Kesar,500 gm,110.00
268,Milky Mist,Table Butter - Salted,500 gm,216.00
269,Collier's,Mild Cheddar - Coloured,200 gm,415.00
270,RRO Dairy,Cheese - Bocconcini,200 gm,276.25
271,Go ,Cheese - Pizza,200 gm,125.00
272,Amul,Kool Milk Shaake - Badam,200 ml,35.00
273,West Frisian,Smoked Processed Cheese - Herbs N Spices,200 gm,245.00
274,Amul,Basundi - Milk Based Prodcut,1 ltr,175.00
275,Nandini,Cool - Choco Milk Shake,200 ml,25.00
276,Milky Mist,Shrikhand - Mango,100 gm,35.00
277,MOOZ,Cheese - Toasty Plain,180 gm,200.00
278,Go ,Cheese Slice - Piri Piri,200 gm,99.00
279,A Lemnos,Cheese - Haloumi Cyprus Style,180 gm,645.00
280,Go ,Cheese - Plain,100 gm,72.00
281,Go ,Cheese Spread - Jalapeno (Soft & Creamy),200 gm,79.00
282,Kraft,Parmesan Cheese Grated,85 gm,615.00
283,Fresho Signature,"Cheese - Red Leicester, Diced",100 gm,207.00
284,Lactima,Cheese Slice - Edam,130 gm,180.00
285,Cavins,Milkshake - Kaju Butterscoth,180 ml,25.00
286,ARLA,Cheese - Mozzarella,200 gm,495.00
287,MOOZ,Sour Cream - Spicy Jalepeno,150 gm,220.00
288,Go ,Cheese Spread - Garlic (Soft & Creamy),200 gm,79.00
289,Milky Mist,Premium Cheese Spread - Natural,200 gm,86.40
290,Amul,Pro Whey Protein Malt - Beverage Chocolate Flavour,200 ml,22.00
291,American Bagel Factory,Low Fat Table Spread - Garlic,200 gm,230.00
292,Cavins,Butter,500 gm,230.00
293,President,Premium Butter - Salted Chiplets,10 gm,55.00
294,Collier's,Cheddar - Welsh,200 gm,550.00
295,Dodoni,Feta Cheese - Cubes in Oil & Oregano,150 gm,695.00
296,Milky Mist,Shrikhand - Elaichi,100 gm,35.00
297,Fresho Signature,"Cheese - Gaudamur Manchego, Diced",100 gm,332.25
298,Go ,Cheese Slice - Green Chutney,200 gm,99.00
299,Amul Gold,Homogenised Toned Milk,500 ml,34.00
300,Amul,Cheese spread - Tikka Dip,200 gm,80.00
301,mother dairy,Cream - UHT,200 ml,46.00
302,Staeta,Fortified Soy Milk - Malt,200 ml,30.00
303,Gowardhan,Go Mozzarella Cheese,200 gm,99.00
